sep,speaker_id,evaluated_items,corpus_wer,mean_sample_wer,mean_doa_error_deg,mean_sdri,mean_sisdri,mean_pesq,mean_pesqi
5,1,10,0.7331460674157303,0.7492478546777832,1.7,3.1023294027894734,3.076607273519039,1.2551762104034423,0.13375980854034425
5,2,10,0.8375,0.8782187376273203,2.5,2.551203468441963,2.5171537339687347,1.1788639545440673,0.06828391551971436
5,3,10,0.27710843373493976,0.27066282673169334,21.9,8.045992922782897,4.752965795993805,2.2894229650497437,1.1222089886665345
10,1,10,0.8599439775910365,0.8625001030974895,3.7,2.8886054158210754,2.809200498461723,1.1921172380447387,0.09180889129638672
10,2,10,0.7102564102564103,0.7297957114110426,4.1,3.053702613338828,2.9713842682540417,1.2132654428482055,0.09842216968536377
10,3,10,0.1687041564792176,0.17668852142689356,18.2,13.590029844641686,12.958217453956603,2.8403308749198914,1.7105825662612915
15,1,10,0.7284595300261096,0.7323331568896084,6.3,2.8813740015029907,2.81569245737046,1.1439036130905151,0.05732848644256592
15,2,10,0.5186104218362283,0.5243491101877831,5.1,4.846795345842838,4.810343001782894,1.2676646947860717,0.1635156750679016
15,3,10,0.43271767810026385,0.4448851322825781,42.9,4.04392818659544,0.7852333366870881,2.450010931491852,1.3494423389434815
20,1,10,0.6287425149700598,0.7110666748244449,8.8,3.381577563285828,1.8047689855098725,1.6323194622993469,0.5083226680755615
20,2,10,0.2224824355971897,0.23372731665447793,5.1,10.533267813920975,10.394566076993943,2.2559640526771547,1.099631655216217
20,3,10,0.11695906432748537,0.14008570971104423,7.5,16.15556530356407,15.00710545182228,2.62861967086792,1.4987239718437195
30,1,10,0.5366430260047281,0.5577028261336772,10.0,3.6639471516013145,1.2863164350390435,2.1165958762168886,0.9895428419113159
30,2,10,0.16037735849056603,0.1776894390038203,6.2,12.602757868170738,12.38713967204094,2.266864550113678,1.1753326773643493
30,3,10,0.3614457831325301,0.37357306448769856,31.8,6.451886391639709,0.809353643655777,2.3566885471343992,1.2559024214744567
