fileid,mic_file,gt_doas_by_scene_ref_order,hark_music_doas,hark_music_scores,mean_matched_doa_error_deg,localization_sec,localization_rtf
0,mic_fileid_0_doa73_3spk.wav,"73,169,206","80,185,270","1.000000,0.743862,0.206605",29.0,0.03094257599877892,0.001755906026488419
1,mic_fileid_1_doa82_3spk.wav,"187,288,82","95,185,280","1.000000,0.528456,0.103082",7.666666666666667,0.031512782001300366,0.0018890997895137762
2,mic_fileid_2_doa36_3spk.wav,"36,128,240","75,185,25","1.000000,0.952134,0.282727",39.666666666666664,0.019505229000060353,0.0011190447067632623
3,mic_fileid_3_doa39_3spk.wav,"39,110,192","295,80,30","1.000000,0.656347,0.527997",47.333333333333336,0.019326187000842765,0.0013059668376320215
4,mic_fileid_4_doa26_3spk.wav,"26,243,58","90,15,180","1.000000,0.149571,0.084015",35.333333333333336,0.02099998899939237,0.0013694491387557484
5,mic_fileid_5_doa60_3spk.wav,"338,60,102","290,85,175","0.836572,0.493476,0.472841",48.666666666666664,0.018921866998425685,0.001226204422741235
6,mic_fileid_6_doa30_3spk.wav,"140,30,87","90,15,165","1.000000,0.504539,0.272690",14.333333333333334,0.020824649000132922,0.0013790130867821387
7,mic_fileid_7_doa57_3spk.wav,"57,120,212","20,90,175","1.000000,0.708979,0.691079",34.666666666666664,0.020512731000053464,0.0014745161197608787
8,mic_fileid_8_doa80_3spk.wav,"333,80,248","340,200,290","1.000000,0.359605,0.347285",56.333333333333336,0.021225254000455607,0.001237398666450318
9,mic_fileid_9_doa85_3spk.wav,"314,242,85","285,200,335","1.000000,0.769831,0.428265",59.666666666666664,0.01534559299943794,0.0009171815016473928
10,mic_fileid_10_doa3_3spk.wav,"3,148,115","275,10,90","1.000000,0.317329,0.061010",53.0,0.02131110499976785,0.001381069122766392
11,mic_fileid_11_doa93_3spk.wav,"264,202,93","265,90,185","0.424318,0.123613,0.097816",7.0,0.0178568159990391,0.0011358575153641052
12,mic_fileid_12_doa38_3spk.wav,"38,105,226","185,10,85","1.000000,0.665269,0.503432",29.666666666666668,0.02442136500030756,0.0014125377407778101
13,mic_fileid_13_doa5_3spk.wav,"5,326,232","275,185,85","1.000000,0.734214,0.651681",59.333333333333336,0.022432997999203508,0.0012837378502813207
14,mic_fileid_14_doa181_3spk.wav,"181,337,224","255,180,100","1.000000,0.315282,0.073407",51.666666666666664,0.03057403200000408,0.0017225777226888323
